"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"2","C2, C3","2","22u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"3","D1","1","PWR","LED_SMD:LED_1206_3216Metric",""
"4","D2","1","TXD","LED_SMD:LED_1206_3216Metric",""
"5","D3","1","RXD","LED_SMD:LED_1206_3216Metric",""
"6","D4","1","BOOT","LED_SMD:LED_1206_3216Metric",""
"7","D5","1","RES","LED_SMD:LED_1206_3216Metric",""
"8","J1","1","USB_B_Mini","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal",""
"9","J2","1","Conn_01x07","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical",""
"10","Q1, Q2","2","BC817","Package_TO_SOT_SMD:SOT-23",""
"11","R1, R2","2","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"12","R3, R4, R5, R6, R7","5","330R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"13","U1","1","FT232RL","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm",""
"14","U2","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
